Sanath Jayasooriya
Aiden Markram
Mohammad Rizwan
Moksha Balasooriya
Kumar Sangakkara
Devon Conway
Jos Buttler
Rassie van
Martin Guptill
Virat Kohli
Evin Lewis
Rohit Sharma
Quinton de Kock
Mitchell Marsh
Jason Roy
Hazratullah
Eoin Morgan
Paul Stirling
Richard Berrington
George Munsey
Lasith Malinga
Mohammad Naim
Jonny Bairstow
Reeza Hendricks
Glenn Maxwell
Kariyawasa Asalanka
Mohammad Nabi
Najibullah Zadran
Mahmudullah
David Warner
Jatinder Singh
Glenn Phillips
Max ODowd
Fakhar Zaman
Navneet Dhaliwal
Nicholas Pooran
David Miller
Kusal Perera
Tony Ura
Kane Williamson
Andrew Balbirnie
Shimron Hetmyer
Ben Cooper
Shreyas Iyer
Muhammad Usman
Tim David
Liam Livingstone
Asghar Afghan
Temba Bavuma
Gerhard Erasmus
Kyle Coetzer
Shikhar Dhawan
Kushal Bhurtel
Craig Williams
Giran Kodithuwakku
Colin Munro
Suryakumar Yadav
Kieron Pollard
Stephan Baard
Rishabh Pant
Matthew Cross
Mohammad Hafeez
Ramesh Satheesan
Zeeshan Maqsood
Aqib Ilyas
Pathum Nissanka
Shakib Al Hasan
Ravija Sandaruwan
Sarfaraz Ali
Nizakat Khan
Litton Das
Matthew Wade
Lendl Simmons
Azhar Andani
Calum MacLeod
Kamran Khan
Craig Ervine
Assad Vala
Tom Latham
Wesley Madhevere
Rayyan Pathan
Daryl Mitchell
Afif Hossain
Rakep Patel
Sean Williams
Ryan Burl
Aiden Markram
Mohammad Rizwa
