First Place  :Sri Lanka
Second Place :Scotland
Third Place  :Australia

Best batsmen : Rohit Sharma	(113)

Best bowlers : Aiden Markram	(6)

Sanath Jayasooriya | Scored : 35  runs for 21 balls, |  Scored Wickets : 3

Aiden Markram   | Scored : 74  runs for 25 balls, |  Scored Wickets : 6

Mohammad Rizwan | Scored : 55  runs for 21 balls, |  Scored Wickets : 3

Moksha Balasooriya | Scored : 31  runs for 15 balls, |  Scored Wickets : 4

Kumar Sangakkara | Scored : 17  runs for 13 balls, |  Scored Wickets : 3

Devon Conway    | Scored : 80  runs for 38 balls, |  Scored Wickets : 3

Jos Buttler     | Scored : 16  runs for 10 balls, |  Scored Wickets : 3

Rassie van      | Scored : 84  runs for 34 balls, |  Scored Wickets : 0

Martin Guptill  | Scored : 22  runs for 10 balls, |  Scored Wickets : 1

Virat Kohli     | Scored : 49  runs for 22 balls, |  Scored Wickets : 0

Evin Lewis      | Scored : 26  runs for 10 balls, |  Scored Wickets : 1

Rohit Sharma    | Scored : 113 runs for 42 balls, |  Scored Wickets : 4

Quinton de Kock | Scored : 24  runs for 11 balls, |  Scored Wickets : 5

Mitchell Marsh  | Scored : 70  runs for 23 balls, |  Scored Wickets : 3

Jason Roy       | Scored : 39  runs for 21 balls, |  Scored Wickets : 2

Hazratullah     | Scored : 28  runs for 17 balls, |  Scored Wickets : 2

Eoin Morgan     | Scored : 51  runs for 23 balls, |  Scored Wickets : 2

Paul Stirling   | Scored : 46  runs for 17 balls, |  Scored Wickets : 1

Richard Berrington | Scored : 76  runs for 35 balls, |  Scored Wickets : 4

George Munsey   | Scored : 30  runs for 15 balls, |  Scored Wickets : 2

Lasith Malinga  | Scored : 19  runs for 11 balls, |  Scored Wickets : 1

Mohammad Naim   | Scored : 9   runs for 6  balls, |  Scored Wickets : 1

Jonny Bairstow  | Scored : 63  runs for 19 balls, |  Scored Wickets : 2

Reeza Hendricks | Scored : 13  runs for 11 balls, |  Scored Wickets : 2

Glenn Maxwell   | Scored : 45  runs for 13 balls, |  Scored Wickets : 0

Kariyawasa Asalanka | Scored : 68  runs for 26 balls, |  Scored Wickets : 1

Mohammad Nabi   | Scored : 16  runs for 8  balls, |  Scored Wickets : 2

Najibullah Zadran | Scored : 16  runs for 5  balls, |  Scored Wickets : 0

Mahmudullah     | Scored : 50  runs for 18 balls, |  Scored Wickets : 1

